Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,222.93,269.01,62.84,4.9,eia.gov,false,
2023-01-01 01:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,213.33,258.69,63.86,3.66,eia.gov,false,
2023-01-01 02:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,211.54,256.64,64.14,3.4,eia.gov,false,
2023-01-01 03:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,209.04,253.95,64.33,2.67,eia.gov,false,
2023-01-01 04:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,202.76,246.46,65.38,0.83,eia.gov,false,
2023-01-01 05:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,195.17,238.45,66.15,0.87,eia.gov,false,
2023-01-01 06:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,187.27,229.47,67.42,0.88,eia.gov,false,
2023-01-01 07:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,187.05,229.25,67.45,0.83,eia.gov,false,
2023-01-01 08:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,187.19,229.42,67.43,0.85,eia.gov,false,
2023-01-01 09:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,187.26,229.46,67.45,0.85,eia.gov,false,
2023-01-01 10:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,184.98,226.3,68.26,0.87,eia.gov,false,
2023-01-01 11:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,181.48,221.68,69.31,0.99,eia.gov,false,
2023-01-01 12:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,183.21,224.18,68.69,0.98,eia.gov,false,
2023-01-01 13:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,187.57,229.88,67.57,1.35,eia.gov,false,
2023-01-01 14:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,186.76,228.58,68.05,2.15,eia.gov,false,
2023-01-01 15:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,180.61,221.62,69.18,3.64,eia.gov,false,
2023-01-01 16:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,178.29,219.63,69.22,4.75,eia.gov,false,
2023-01-01 17:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,175.18,216.17,69.77,5.67,eia.gov,false,
2023-01-01 18:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,174.09,214.56,70.29,6.31,eia.gov,false,
2023-01-01 19:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,172.32,212.23,70.77,6.21,eia.gov,false,
2023-01-01 20:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,180.32,222.11,68.67,4.22,eia.gov,false,
2023-01-01 21:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,185.56,227.96,67.68,2.15,eia.gov,false,
2023-01-01 22:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,190.47,233.27,67.28,4.63,eia.gov,false,
2023-01-01 23:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,199.82,243.15,66.33,5.1,eia.gov,false,
2023-01-02 00:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,196.9,239.97,66.68,5.06,eia.gov,false,
2023-01-02 01:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,189.86,232.31,67.53,4.85,eia.gov,false,
2023-01-02 02:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,184.46,226.37,68.24,4.53,eia.gov,false,
2023-01-02 03:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,182.29,224.38,68.22,4.08,eia.gov,false,
2023-01-02 04:00:00,USA,Duke Energy Carolinas,US-CAR-DUK,181.81,223.68,68.36,3.52,eia.gov,false,
