Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,277.46,350.2,51.75,51.75,eia.gov,false,
2023-01-01 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,329.57,411.46,42.68,42.68,eia.gov,false,
2023-01-01 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,395.25,484.57,32.68,32.15,eia.gov,false,
2023-01-01 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,487.86,585.86,19.11,17.49,eia.gov,false,
2023-01-01 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,480.83,577.26,20.46,18.78,eia.gov,false,
2023-01-01 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,494.73,595.94,17.25,15.87,eia.gov,false,
2023-01-01 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,480.95,577.49,20.41,18.7,eia.gov,false,
2023-01-01 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,489.15,584.49,19.81,17.69,eia.gov,false,
2023-01-01 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,499.46,599.9,16.98,15.34,eia.gov,false,
2023-01-01 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,496.28,596.99,17.21,15.64,eia.gov,false,
2023-01-01 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,498.83,600.52,16.56,15.05,eia.gov,false,
2023-01-01 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,495.49,598.51,16.51,15.37,eia.gov,false,
2023-01-01 12:00:00,USA,Southwestern Power Administration,US-CENT-SPA,511.68,622.32,12.12,11.67,eia.gov,false,
2023-01-01 13:00:00,USA,Southwestern Power Administration,US-CENT-SPA,511.69,620.76,12.66,12.02,eia.gov,false,
2023-01-01 14:00:00,USA,Southwestern Power Administration,US-CENT-SPA,508.53,614.07,14.23,13.22,eia.gov,false,
2023-01-01 15:00:00,USA,Southwestern Power Administration,US-CENT-SPA,503.28,606.39,15.65,14.49,eia.gov,false,
2023-01-01 16:00:00,USA,Southwestern Power Administration,US-CENT-SPA,507.2,612.28,14.55,13.58,eia.gov,false,
2023-01-01 17:00:00,USA,Southwestern Power Administration,US-CENT-SPA,504.03,612.49,13.77,13.3,eia.gov,false,
2023-01-01 18:00:00,USA,Southwestern Power Administration,US-CENT-SPA,509.91,623.47,11.32,11.32,eia.gov,false,
2023-01-01 19:00:00,USA,Southwestern Power Administration,US-CENT-SPA,507.46,619.68,12.09,11.63,eia.gov,false,
2023-01-01 20:00:00,USA,Southwestern Power Administration,US-CENT-SPA,520.4,629.65,11.73,10.33,eia.gov,false,
2023-01-01 21:00:00,USA,Southwestern Power Administration,US-CENT-SPA,404.05,499.03,29.73,29.73,eia.gov,false,
2023-01-01 22:00:00,USA,Southwestern Power Administration,US-CENT-SPA,318.54,398.5,44.6,44.6,eia.gov,false,
2023-01-01 23:00:00,USA,Southwestern Power Administration,US-CENT-SPA,312.07,390.88,45.73,45.73,eia.gov,false,
2023-01-02 00:00:00,USA,Southwestern Power Administration,US-CENT-SPA,314.98,394.3,45.22,45.22,eia.gov,false,
2023-01-02 01:00:00,USA,Southwestern Power Administration,US-CENT-SPA,337.56,420.86,41.29,41.29,eia.gov,false,
2023-01-02 02:00:00,USA,Southwestern Power Administration,US-CENT-SPA,337.81,421.15,41.25,41.25,eia.gov,false,
2023-01-02 03:00:00,USA,Southwestern Power Administration,US-CENT-SPA,338.07,421.45,41.21,41.21,eia.gov,false,
2023-01-02 04:00:00,USA,Southwestern Power Administration,US-CENT-SPA,372.25,461.63,35.26,35.26,eia.gov,false,
2023-01-02 05:00:00,USA,Southwestern Power Administration,US-CENT-SPA,395.1,488.5,31.29,31.29,eia.gov,false,
2023-01-02 06:00:00,USA,Southwestern Power Administration,US-CENT-SPA,515.86,629.04,10.83,10.07,eia.gov,false,
2023-01-02 07:00:00,USA,Southwestern Power Administration,US-CENT-SPA,519.71,635.0,9.62,9.62,eia.gov,false,
2023-01-02 08:00:00,USA,Southwestern Power Administration,US-CENT-SPA,512.07,623.8,11.78,10.49,eia.gov,false,
2023-01-02 09:00:00,USA,Southwestern Power Administration,US-CENT-SPA,509.15,620.63,12.19,11.07,eia.gov,false,
2023-01-02 10:00:00,USA,Southwestern Power Administration,US-CENT-SPA,509.04,621.28,11.94,11.38,eia.gov,false,
2023-01-02 11:00:00,USA,Southwestern Power Administration,US-CENT-SPA,462.76,568.04,19.52,19.52,eia.gov,false,
